date,fips,state_name,state_abbr,county,series_complete_5plus,series_complete_5plus_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,series_complete_yes,series_complete_pop_pct,completeness_pct,census2019_12plus_pop,series_complete_12plus,series_complete_12plus_pop_pct,administered_dose1_recip,administered_dose1_recip_5plus,administered_dose1_recip_12plus,administered_dose1_recip_18plus,administered_dose1_recip_65plus,administered_dose1_pop_pct,administered_dose1_recip_5plus_pop_pct,administered_dose1_recip_12plus_pop_pct,administered_dose1_recip_18plus_pop_pct,administered_dose1_recip_65plus_pop_pct,series_complete_pop_pct_svi,series_complete_18plus_pop_pct_svi,series_complete_65plus_pop_pct_svi,svi_ctgy,series_complete_pop_pct_ur_equity,series_complete_18plus_pop_pct_ur_equity,series_complete_65plus_pop_pct_ur_equity,metro_status,booster_doses,bivalent_booster_5plus,bivalent_booster_12plus,bivalent_booster_18plus,bivalent_booster_65plus,bivalent_booster_5plus_pop_pct,bivalent_booster_12plus_pop_pct,bivalent_booster_18plus_pop_pct,bivalent_booster_65plus_pop_pct,bivalent_booster_18plus_pop_pct_ur_equity,bivalent_booster_65plus_pop_pct_ur_equity,bivalent_booster_18plus_pop_pct_svi,bivalent_booster_65plus_pop_pct_svi,series_complete_under18_pop_pct,series_complete_under18pop_pct_svi,series_complete_under18pop_pct_ur_equity,administered_dose1_pop_pct_svi,administered_dose1_recip_under18_pop_pct,administered_dose1_18plus_pop_pct_svi,administered_dose1_under18pop_pct_svi,administered_dose1_65plus_pop_pct_svi,administered_dose1_pop_pct_ur_equity,administered_dose1_under18pop_pct_ur_equity,administered_dose1_18plus_pop_ur_equity,administered_dose1_65plus_pop_ur_equity,bivalent_booster,bivalent_booster_pop_pct,bivalent_booster_under18_pop_pct,bivalent_booster_pop_pct_svi,bivalent_booster_pop_pct_ur_equity,bivalent_booster_under18_pop_pct_svi,bivalent_booster_under18_pop_pct_ur_equity
2023-04-12,01001,Alabama,AL,Autauga County,25709,48.9,23266,54.2,6630,74.3,25735,46.1,92.6,47574,25008,52.6,32400,32319,31360,29193,8080,58,61.5,65.9,68,90.5,9,10,11,C,1,2,3,Metro,9774,3525,3511,3420,1746,6.7,7.4,8,19.6,1,2,9,10,19,9,1,10,24.7,11,9,12,2,1,3,4,3525,6.3,0.8,9,1,9,1
2023-04-12,01003,Alabama,AL,Baldwin County,119094,56.4,111386,63.4,41536,88.7,119206,53.4,92.6,192649,117227,60.9,149454,149077,146312,138806,50660,66.9,70.6,75.9,79,95,6,6,8,B,2,2,4,Metro,47487,18727,18544,18138,11717,8.9,9.6,10.3,25,1,4,5,8,16.4,5,1,7,22.4,7,5,8,3,1,3,4,18727,8.4,1.2,5,1,5,1
2023-04-12,01005,Alabama,AL,Barbour County,11694,50,10893,55.6,3630,74.7,11698,47.4,92.6,21404,11474,53.6,14254,14232,13966,13248,4229,57.7,60.9,65.2,67.6,87,13,14,15,D,5,6,7,Non-metro,4375,1047,1036,1019,688,4.5,4.8,5.2,14.2,5,5,13,13,15.8,13,5,14,19.8,15,13,16,6,5,7,8,1047,4.2,0.6,13,5,13,5
2023-04-12,01007,Alabama,AL,Bibb County,8164,38.6,7641,42.8,2384,63.9,8172,36.5,92.6,19480,8034,41.2,9817,9798,9631,9168,2641,43.8,46.3,49.4,51.4,70.7,13,13,14,D,1,1,2,Metro,3456,1286,1285,1253,711,6.1,6.6,7,19,1,2,13,14,11.7,13,1,13,14.2,14,13,15,1,1,2,3,1286,5.7,0.7,13,1,13,1
2023-04-12,01009,Alabama,AL,Blount County,18998,34.9,17929,40.2,5995,55.4,19001,32.9,92.6,49234,18804,38.2,22906,22884,22583,21500,6969,39.6,42.1,45.9,48.2,64.4,9,9,10,C,1,1,2,Metro,7025,2262,2260,2247,1391,4.2,4.6,5,12.9,1,1,9,9,8.1,9,1,9,10.6,9,9,10,1,1,1,2,2262,3.9,0.1,9,1,9,1
2023-04-12,01011,Alabama,AL,Bullock County,5722,60,5217,65.3,1445,84.5,5732,56.7,92.6,8677,5574,64.2,7284,7257,7075,6648,1814,72.1,76.1,81.5,83.2,95,14,15,16,D,6,7,8,Non-metro,2351,614,611,598,291,6.4,7,7.5,17,5,6,13,14,24.5,13,5,15,30.2,16,14,16,7,6,8,8,614,6.1,0.8,13,5,13,5
2023-04-12,01013,Alabama,AL,Butler County,7962,43.4,7424,48.9,2741,67.7,7962,40.9,92.6,16675,7839,47,9986,9978,9795,9285,3283,51.3,54.4,58.7,61.2,81.1,9,9,11,C,5,5,7,Non-metro,3044,1031,1031,1026,655,5.6,6.2,6.8,16.2,5,6,9,10,12.6,9,5,10,16.4,10,9,12,6,5,6,8,1031,5.3,0.1,9,5,9,5
2023-04-12,01015,Alabama,AL,Calhoun County,55586,51.9,52392,58.8,17087,83.2,55598,48.9,92.6,97757,54887,56.1,67140,67059,65993,62782,19730,59.1,62.7,67.5,70.4,95,9,10,12,C,1,2,4,Metro,21989,7554,7542,7474,4402,7.1,7.7,8.4,21.4,1,3,9,11,13.1,9,1,10,17.8,11,9,12,2,1,3,4,7554,6.6,0.3,9,1,9,1
2023-04-12,01017,Alabama,AL,Chambers County,11015,35.1,10399,39.5,3551,52.9,11023,33.1,92.6,28624,10867,38,13096,13078,12889,12314,4100,39.4,41.7,45,46.7,61.1,13,13,14,D,5,5,6,Non-metro,4508,1414,1407,1390,834,4.5,4.9,5.3,12.4,5,5,13,13,9,13,5,13,11.3,13,13,14,5,5,5,6,1414,4.3,0.3,13,5,13,5
2023-04-12,01019,Alabama,AL,Cherokee County,8483,34,8196,38.6,3476,56.4,8485,32.4,92.6,23072,8440,36.6,10300,10297,10230,9930,4116,39.3,41.2,44.3,46.7,66.8,5,5,6,B,5,5,6,Non-metro,3523,1297,1297,1284,895,5.2,5.6,6,14.5,5,5,5,5,5.8,5,5,5,7.5,5,5,7,5,5,5,7,1297,5,0.3,5,5,5,5
2023-04-12,01021,Alabama,AL,Chilton County,16695,40,15548,45.9,5160,67.9,16701,37.6,92.6,37470,16419,43.8,20266,20244,19850,18805,5957,45.6,48.5,53,55.6,78.4,9,9,11,C,1,1,3,Metro,6058,1912,1905,1877,1077,4.6,5.1,5.5,14.2,1,1,9,9,10.9,9,1,9,13.8,10,9,11,1,1,2,3,1912,4.3,0.3,9,1,9,1
2023-04-12,01023,Alabama,AL,Choctaw County,8632,72.4,8229,81.4,3051,95,8637,68.6,92.6,11029,8537,77.4,10706,10687,10519,10095,3643,85,89.6,95,95,95,11,12,12,C,7,8,8,Non-metro,3459,1105,1104,1083,703,9.3,10,10.7,23.7,5,7,9,11,16.5,9,5,12,24.6,12,9,12,8,5,8,8,1105,8.8,0.9,9,5,9,5
2023-04-12,01025,Alabama,AL,Clarke County,12388,55.7,11621,62.5,3950,81.6,12390,52.5,92.6,20387,12225,60,15195,15184,14941,14182,4583,64.3,68.2,73.3,76.3,94.6,14,14,16,D,6,6,8,Non-metro,4938,1350,1349,1336,841,6.1,6.6,7.2,17.4,5,6,13,14,15.3,13,5,14,20.1,15,13,16,6,5,7,8,1350,5.7,0.3,13,5,13,5
2023-04-12,01027,Alabama,AL,Clay County,5780,46.1,5500,52.1,1996,71.7,5780,43.7,92.6,11480,5727,49.9,6943,6942,6864,6604,2359,52.5,55.4,59.8,62.5,84.7,9,10,11,C,5,6,7,Non-metro,2229,702,698,696,434,5.6,6.1,6.6,15.6,5,6,9,10,10.5,9,5,10,12.7,10,9,12,6,5,6,8,702,5.3,0.2,9,5,9,5
2023-04-12,01029,Alabama,AL,Cleburne County,4413,31.5,4226,36.6,1610,53.5,4413,29.6,92.6,12695,4368,34.4,5277,5275,5203,5019,1837,35.4,37.6,41,43.5,61.1,5,5,6,B,5,5,6,Non-metro,1634,452,451,448,307,3.2,3.6,3.9,10.2,5,5,5,5,5.6,5,5,5,7.7,5,5,6,5,5,5,6,452,3,0.1,5,5,5,5
2023-04-12,01031,Alabama,AL,Coffee County,25607,52.1,23752,59.5,7401,82,25624,49,92.6,44289,25169,56.8,32402,32332,31721,29947,8940,61.9,65.8,71.6,75,95,9,10,12,C,5,6,8,Non-metro,8395,2394,2383,2330,1404,4.9,5.4,5.8,15.5,5,6,9,10,15.1,9,5,10,19.8,11,9,12,6,5,7,8,2394,4.6,0.5,9,5,9,5
2023-04-12,01033,Alabama,AL,Colbert County,27361,52.5,25677,58.8,8914,80.6,27372,49.6,92.6,47584,27011,56.8,32464,32436,31941,30325,10092,58.8,62.2,67.1,69.4,91.2,5,6,8,B,1,2,4,Metro,10799,3489,3481,3443,2269,6.7,7.3,7.9,20.5,1,3,5,7,14.7,5,1,6,18.5,7,5,8,2,1,3,4,3489,6.3,0.4,5,1,5,1
2023-04-12,01035,Alabama,AL,Conecuh County,5468,47.9,5163,53.8,1924,67.9,5469,45.3,92.6,10454,5393,51.6,7067,7063,6972,6631,2430,58.6,61.8,66.7,69.1,85.8,9,10,11,C,5,6,7,Non-metro,1913,510,508,505,308,4.5,4.9,5.3,10.9,5,5,9,9,12.4,9,5,10,17.6,11,9,12,6,5,7,8,510,4.2,0.2,9,5,9,5
2023-04-12,01037,Alabama,AL,Coosa County,4478,43.9,4305,48.3,1727,67.3,4478,42,92.6,9536,4443,46.6,5354,5351,5305,5140,2023,50.2,52.5,55.6,57.6,78.8,5,5,7,B,5,5,7,Non-metro,1948,640,640,640,423,6.3,6.7,7.2,16.5,5,6,5,6,9.9,5,5,6,12.2,6,5,7,6,5,6,7,640,6,NA,5,5,5,NA
2023-04-12,01039,Alabama,AL,Covington County,14501,41.6,13825,47.9,5391,68.1,14501,39.1,92.6,31686,14374,45.4,17652,17650,17483,16833,6369,47.6,50.6,55.2,58.3,80.4,9,9,11,C,5,5,7,Non-metro,5117,1479,1474,1463,997,4.2,4.7,5.1,12.6,5,5,9,9,8.3,9,5,9,10,10,9,12,5,5,6,8,1479,4,0.2,9,5,9,5
2023-04-12,01041,Alabama,AL,Crenshaw County,4914,37.9,4633,43.6,1757,65.8,4917,35.7,92.6,11744,4846,41.3,5955,5940,5831,5561,2063,43.2,45.8,49.7,52.3,77.2,9,9,11,C,5,5,7,Non-metro,1857,546,543,531,345,4.2,4.6,5,12.9,5,5,9,9,9.1,9,5,9,12.6,10,9,11,5,5,6,7,546,4,0.5,9,5,9,5
2023-04-12,01043,Alabama,AL,Cullman County,32912,41.9,31402,48.3,11362,72.2,32927,39.3,92.6,71308,32603,45.7,38890,38858,38461,36964,12769,46.4,49.4,53.9,56.9,81.2,9,9,11,C,5,5,7,Non-metro,13124,4354,4347,4313,2821,5.5,6.1,6.6,17.9,5,6,9,10,8.1,9,5,9,10.2,10,9,12,5,5,6,8,4355,5.2,0.2,9,5,9,5
2023-04-12,01045,Alabama,AL,Dale County,24381,53.1,22930,60.4,6489,76.3,24396,49.6,92.6,41540,23996,57.8,29309,29241,28682,27379,7361,59.6,63.7,69,72.1,86.6,13,14,15,D,5,6,7,Non-metro,8112,2378,2364,2334,1357,5.2,5.7,6.1,16,5,6,13,14,13.1,13,5,14,17.3,15,13,16,6,5,7,8,2378,4.8,0.4,13,5,13,5
2023-04-12,01047,Alabama,AL,Dallas County,17585,50.3,16321,57.2,5353,76.2,17588,47.3,92.6,31600,17380,55,22697,22653,22250,20796,6671,61,64.7,70.4,72.9,95,13,14,15,D,5,6,7,Non-metro,7626,2456,2454,2436,1414,7,7.8,8.5,20.1,5,7,13,15,14.6,13,5,14,21.9,15,13,16,6,5,7,8,2456,6.6,0.2,13,5,13,5
2023-04-12,01049,Alabama,AL,DeKalb County,25180,37.4,23652,43.5,7908,62.8,25193,35.2,92.6,60601,24853,41,30893,30860,30407,28827,9326,43.2,45.9,50.2,53,74,9,9,10,C,5,5,6,Non-metro,9886,3106,3102,3068,1911,4.6,5.1,5.6,15.2,5,6,9,10,9,9,5,9,12.1,10,9,11,5,5,6,7,3106,4.3,0.2,9,5,9,5
2023-04-12,01051,Alabama,AL,Elmore County,39294,51.4,36867,58.4,11382,89.9,39296,48.4,92.6,69448,38745,55.8,48305,48290,47510,45067,13535,59.5,63.1,68.4,71.4,95,5,6,8,B,1,2,4,Metro,14679,5003,4994,4919,2738,6.5,7.2,7.8,21.6,1,3,5,7,13.4,5,1,6,17.9,7,5,8,2,1,3,4,5003,6.2,0.5,5,1,5,1
